"country","mean","se","l","u","age"
"Cote d'Ivoire",0.00833374334137662,0.00463763019937642,0.00243413621671551,0.0192456815216786,"20-24"
"Croatia",0.00988854357105184,0.00529504287053347,0.00289987443495752,0.0235565682247581,"20-24"
"Cuba",0.00808256889555617,0.00429167612466603,0.00213805847887349,0.0191752728008646,"20-24"
"Cyprus",0.00957172218864665,0.0048953675877305,0.00274609793544494,0.0218365903311999,"20-24"
"Czech Republic",0.009642846889503,0.00505440591377899,0.0028051247223877,0.0217764470620543,"20-24"
"Denmark",0.00540678867030929,0.00276851763544613,0.00141393344543905,0.0120692478910632,"20-24"
"Djibouti",0.010150003916541,0.00579519869116057,0.0027363379903782,0.0242095116960693,"20-24"
"Dominica",0.0100674358232486,0.00548597368281063,0.00282083118960061,0.0235732162832592,"20-24"
"Dominican Republic",0.0102510312297652,0.00568513882364632,0.00290719057477977,0.024555421993268,"20-24"
"DR Congo",0.00695750154284089,0.00491106584574783,0.00146165753721748,0.0188405614152945,"20-24"
"Ecuador",0.0086620988283931,0.00513953015672211,0.00196224042065524,0.021253419647614,"20-24"
"Egypt",0.0258277185496193,0.0129596171208034,0.0101004285497729,0.0583402721101863,"20-24"
"El Salvador",0.0112842790231919,0.00625582687163805,0.00336358922457133,0.0273622653713649,"20-24"
"Equatorial Guinea",0.0120977186094173,0.00787600578930891,0.00317756814288963,0.0324616501345577,"20-24"
"Eritrea",0.00644145796990202,0.00352808809184866,0.00177600286813501,0.0151040063097071,"20-24"
"Estonia",0.00892683843901386,0.00536083633252457,0.00223560026783495,0.022181175815877,"20-24"
"Ethiopia",0.00617128016471222,0.00349753118226418,0.0015896482456644,0.0146519236980965,"20-24"
"Fiji",0.0247931777341107,0.014890216652928,0.0076634894974381,0.0651371746874385,"20-24"
"Finland",0.00636086711437218,0.00299229784206592,0.00198262537625394,0.0135870164951338,"20-24"
"France",0.00821559924637241,0.00406769833746095,0.00254267116148896,0.0179340527953436,"20-24"
"French Polynesia",0.0404722522240829,0.0226262965154938,0.0130577438143706,0.0966269580767795,"20-24"
"Gabon",0.0128894406656838,0.00891148266419156,0.00312633088733505,0.0348612300563888,"20-24"
"Gambia",0.0118192808012319,0.00651367119610329,0.00364143120643268,0.0284849560398401,"20-24"
"Georgia",0.0196383063834501,0.0101399290536564,0.0069680821949365,0.0447591413147138,"20-24"
"Germany",0.00599940572033951,0.0030440144735862,0.0016563180366471,0.0132491373707963,"20-24"
"Ghana",0.00694732399369258,0.00375646264210883,0.00201415228237027,0.016163240778577,"20-24"
"Greece",0.00796992080000358,0.0040241180905104,0.00231345103999415,0.0180627129590951,"20-24"
"Greenland",0.00551319930963674,0.00281784997621341,0.00150464537703573,0.0121059450167289,"20-24"
"Grenada",0.0107741089074939,0.00630746933402808,0.00284070643377474,0.0265544698144744,"20-24"
"Guatemala",0.0110593693162329,0.00628549079729615,0.00306743435174654,0.0272154792359475,"20-24"
"Guinea",0.00752121412027988,0.00385290623761988,0.00221748749138242,0.0168467584945916,"20-24"
"Guinea Bissau",0.00839933986484823,0.00454978439412122,0.002390526604658,0.0197808351386282,"20-24"
"Guyana",0.0112514153370598,0.00659716639111458,0.00298813132460519,0.0277781842664087,"20-24"
"Haiti",0.0103103555660596,0.00593877725695802,0.00291917372267378,0.0249839577382861,"20-24"
"Honduras",0.0102622550925224,0.00568445873047223,0.00295675996911594,0.0241543175176819,"20-24"
"Hungary",0.0104010665781474,0.00560234780793979,0.00306587442429278,0.0241010757118884,"20-24"
"Iceland",0.00851352993408432,0.00462581681397945,0.0022843997158779,0.0196555608837825,"20-24"
"India",0.0115147007911988,0.00524530792224827,0.0043725388014609,0.0243817717273544,"20-24"
"Indonesia",0.00833752007852396,0.00411993987591351,0.00267706747423294,0.0184524253675807,"20-24"
"Iran",0.0148947339130958,0.00660359389182288,0.00647117954966421,0.0318168287797472,"20-24"
"Iraq",0.0280235556797775,0.014694280473095,0.010088812244843,0.0666198473130575,"20-24"
